year,scenario,gas,value
2029,SSP1-2.6,co2_ppm,427.7880976155868
2030,SSP1-2.6,co2_ppm,430.3756307439706
2031,SSP1-2.6,co2_ppm,432.81843949429117
2032,SSP1-2.6,co2_ppm,434.4710568052603
2033,SSP1-2.6,co2_ppm,436.37148837422916
2034,SSP1-2.6,co2_ppm,439.0563912083887
2035,SSP1-2.6,co2_ppm,440.9499257271759
2036,SSP1-2.6,co2_ppm,442.6732600366131
2037,SSP1-2.6,co2_ppm,444.9996634891839
2038,SSP1-2.6,co2_ppm,446.3603590483056
2039,SSP1-2.6,co2_ppm,448.2441347943787
2040,SSP1-2.6,co2_ppm,449.5311774716556
2041,SSP1-2.6,co2_ppm,451.1816931094093
2042,SSP1-2.6,co2_ppm,453.82718176815933
2043,SSP1-2.6,co2_ppm,454.8876947079855
2044,SSP1-2.6,co2_ppm,455.6459283563274
2045,SSP1-2.6,co2_ppm,457.2884295417835
2046,SSP1-2.6,co2_ppm,458.7561565651478
2047,SSP1-2.6,co2_ppm,460.096113101006
2048,SSP1-2.6,co2_ppm,460.82611535795263
2049,SSP1-2.6,co2_ppm,462.07571318770744
2050,SSP1-2.6,co2_ppm,462.81198029058845
2051,SSP1-2.6,co2_ppm,463.2487894104674
2052,SSP1-2.6,co2_ppm,464.36225004689453
2053,SSP1-2.6,co2_ppm,464.9987533479289
2054,SSP1-2.6,co2_ppm,465.94288361332
2055,SSP1-2.6,co2_ppm,467.18322812292234
2056,SSP1-2.6,co2_ppm,467.3096056033424
2057,SSP1-2.6,co2_ppm,467.3644763935852
2058,SSP1-2.6,co2_ppm,467.31141594136443
2059,SSP1-2.6,co2_ppm,467.44066933987915
2060,SSP1-2.6,co2_ppm,468.4674205128088
2061,SSP1-2.6,co2_ppm,469.8047531175364
2062,SSP1-2.6,co2_ppm,469.6196192901028
2063,SSP1-2.6,co2_ppm,469.37284997730194
2064,SSP1-2.6,co2_ppm,469.2180711389612
2065,SSP1-2.6,co2_ppm,469.0652249606255
2066,SSP1-2.6,co2_ppm,469.55061434813643
2067,SSP1-2.6,co2_ppm,469.3111111553758
2068,SSP1-2.6,co2_ppm,469.449525962829
2069,SSP1-2.6,co2_ppm,469.89403139057237
2070,SSP1-2.6,co2_ppm,469.52418497887015
2071,SSP1-2.6,co2_ppm,468.7511785447678
2072,SSP1-2.6,co2_ppm,468.52288813262766
2073,SSP1-2.6,co2_ppm,468.18770587760423
2074,SSP1-2.6,co2_ppm,468.320073710757
2075,SSP1-2.6,co2_ppm,468.03978453310515
2076,SSP1-2.6,co2_ppm,467.2118558775632
2077,SSP1-2.6,co2_ppm,467.0604506070595
2078,SSP1-2.6,co2_ppm,467.4911205448929
2079,SSP1-2.6,co2_ppm,466.39784559915466
2080,SSP1-2.6,co2_ppm,465.4297204860384
2081,SSP1-2.6,co2_ppm,464.62040364197236
2082,SSP1-2.6,co2_ppm,463.8272092250957
2083,SSP1-2.6,co2_ppm,463.5354316577861
2084,SSP1-2.6,co2_ppm,461.4339199419364
2085,SSP1-2.6,co2_ppm,459.9226276674554
2086,SSP1-2.6,co2_ppm,460.41401642174486
2087,SSP1-2.6,co2_ppm,459.5818904391743
2088,SSP1-2.6,co2_ppm,458.0391275068798
2089,SSP1-2.6,co2_ppm,456.9337817384932
2090,SSP1-2.6,co2_ppm,456.32339209679407
2091,SSP1-2.6,co2_ppm,455.1918415432053
2092,SSP1-2.6,co2_ppm,453.72002008334
2093,SSP1-2.6,co2_ppm,452.97538293010916
2094,SSP1-2.6,co2_ppm,451.2522733745123
2095,SSP1-2.6,co2_ppm,449.69918583131783
2096,SSP1-2.6,co2_ppm,448.79013949994965
2097,SSP1-2.6,co2_ppm,448.1869091296182
2098,SSP1-2.6,co2_ppm,447.3634053846613
2099,SSP1-2.6,co2_ppm,446.19808885305525
2100,SSP1-2.6,co2_ppm,445.3350046571807
2015,SSP2-4.5,co2_ppm,391.81396208041406
2016,SSP2-4.5,co2_ppm,393.88721671763363
2017,SSP2-4.5,co2_ppm,397.0453831731549
2018,SSP2-4.5,co2_ppm,399.6545501744233
2019,SSP2-4.5,co2_ppm,403.29017308420015
2020,SSP2-4.5,co2_ppm,404.9587298362308
2021,SSP2-4.5,co2_ppm,406.9494540251074
2022,SSP2-4.5,co2_ppm,410.24444918939326
2023,SSP2-4.5,co2_ppm,413.4316823496906
2024,SSP2-4.5,co2_ppm,416.67883460104525
2025,SSP2-4.5,co2_ppm,418.7745269893159
2026,SSP2-4.5,co2_ppm,422.036925892741
2027,SSP2-4.5,co2_ppm,424.8892273655729
2028,SSP2-4.5,co2_ppm,427.84262584234426
2029,SSP2-4.5,co2_ppm,430.21818043108163
2030,SSP2-4.5,co2_ppm,433.73161647294813
2031,SSP2-4.5,co2_ppm,436.433304197944
2032,SSP2-4.5,co2_ppm,439.1806456949139
2033,SSP2-4.5,co2_ppm,442.0455594311229
2034,SSP2-4.5,co2_ppm,445.01191102932216
2035,SSP2-4.5,co2_ppm,448.02858686011456
2036,SSP2-4.5,co2_ppm,451.3945383758969
2037,SSP2-4.5,co2_ppm,454.8164725703843
2038,SSP2-4.5,co2_ppm,457.7606947329795
2039,SSP2-4.5,co2_ppm,461.0103238727141
2040,SSP2-4.5,co2_ppm,463.6182934908434
2041,SSP2-4.5,co2_ppm,466.79970232466667
2042,SSP2-4.5,co2_ppm,469.9317366249093
2043,SSP2-4.5,co2_ppm,473.2232085673395
2044,SSP2-4.5,co2_ppm,476.35686853793544
2045,SSP2-4.5,co2_ppm,479.3617754223635
2046,SSP2-4.5,co2_ppm,482.24374440161756
2047,SSP2-4.5,co2_ppm,485.46437035800795
2048,SSP2-4.5,co2_ppm,487.95227315497254
2049,SSP2-4.5,co2_ppm,491.5678710061524
2050,SSP2-4.5,co2_ppm,494.7805488315974
2051,SSP2-4.5,co2_ppm,497.49831325522723
2052,SSP2-4.5,co2_ppm,500.95793275246
2053,SSP2-4.5,co2_ppm,504.70070003701545
2054,SSP2-4.5,co2_ppm,507.95471131335995
2055,SSP2-4.5,co2_ppm,510.5333143878124
2056,SSP2-4.5,co2_ppm,514.1987524411826
2057,SSP2-4.5,co2_ppm,516.9149460136213
2058,SSP2-4.5,co2_ppm,518.7032102860691
2059,SSP2-4.5,co2_ppm,521.3888999217137
2060,SSP2-4.5,co2_ppm,525.3142927796839
2061,SSP2-4.5,co2_ppm,528.3276701966219
2062,SSP2-4.5,co2_ppm,531.4014273636426
2063,SSP2-4.5,co2_ppm,533.9716679032515
2064,SSP2-4.5,co2_ppm,537.5608647706588
2065,SSP2-4.5,co2_ppm,539.6487629608827
2066,SSP2-4.5,co2_ppm,541.6850473803728
2067,SSP2-4.5,co2_ppm,544.9792522799045
2068,SSP2-4.5,co2_ppm,547.849459319867
2069,SSP2-4.5,co2_ppm,550.3738470946442
2070,SSP2-4.5,co2_ppm,552.2238875552802
2071,SSP2-4.5,co2_ppm,554.1684038056541
2072,SSP2-4.5,co2_ppm,557.5026343847906
2073,SSP2-4.5,co2_ppm,560.5530383004403
2074,SSP2-4.5,co2_ppm,562.5189498455225
2075,SSP2-4.5,co2_ppm,564.9962304737901
2076,SSP2-4.5,co2_ppm,567.947649928011
2077,SSP2-4.5,co2_ppm,569.5921795151065
2078,SSP2-4.5,co2_ppm,570.9178545062156
2079,SSP2-4.5,co2_ppm,572.7224332369168
2080,SSP2-4.5,co2_ppm,575.1997095897191
2081,SSP2-4.5,co2_ppm,576.4505600388287
2082,SSP2-4.5,co2_ppm,578.5320705293238
2083,SSP2-4.5,co2_ppm,580.832069078033
2084,SSP2-4.5,co2_ppm,581.8251558689152
2085,SSP2-4.5,co2_ppm,583.090538494093
2086,SSP2-4.5,co2_ppm,586.1711105617412
2087,SSP2-4.5,co2_ppm,586.6398210915003
2088,SSP2-4.5,co2_ppm,587.1535244862256
2089,SSP2-4.5,co2_ppm,589.8671175893469
2090,SSP2-4.5,co2_ppm,590.8448716663111
2091,SSP2-4.5,co2_ppm,590.6230080699272
2092,SSP2-4.5,co2_ppm,591.8897247788749
2093,SSP2-4.5,co2_ppm,593.4553263680367
2094,SSP2-4.5,co2_ppm,593.1254530874388
2095,SSP2-4.5,co2_ppm,594.0916246572308
2096,SSP2-4.5,co2_ppm,593.8055156621289
2097,SSP2-4.5,co2_ppm,594.1438799942397
2098,SSP2-4.5,co2_ppm,596.669200994622
2099,SSP2-4.5,co2_ppm,596.1421925592759
2100,SSP2-4.5,co2_ppm,596.323294987419
2015,SSP3-7.0,co2_ppm,391.8564017795787
2016,SSP3-7.0,co2_ppm,394.4501106552386
2017,SSP3-7.0,co2_ppm,397.72997646664317
2018,SSP3-7.0,co2_ppm,400.46765420960037
2019,SSP3-7.0,co2_ppm,402.1990196081899
2020,SSP3-7.0,co2_ppm,404.8208832282994
2021,SSP3-7.0,co2_ppm,408.08356365060416
2022,SSP3-7.0,co2_ppm,411.55046482031815
2023,SSP3-7.0,co2_ppm,414.09309001045716
2024,SSP3-7.0,co2_ppm,416.971110351646
2025,SSP3-7.0,co2_ppm,421.4184836163204
2026,SSP3-7.0,co2_ppm,424.67051385484405
2027,SSP3-7.0,co2_ppm,427.44804147985525
2028,SSP3-7.0,co2_ppm,431.41470698120565
2029,SSP3-7.0,co2_ppm,435.4043255701967
2030,SSP3-7.0,co2_ppm,439.292550652982
2031,SSP3-7.0,co2_ppm,442.0234655991901
2032,SSP3-7.0,co2_ppm,446.33506700696006
2033,SSP3-7.0,co2_ppm,450.7217190740721
2034,SSP3-7.0,co2_ppm,454.8044011566553
2035,SSP3-7.0,co2_ppm,458.4017978396153
2036,SSP3-7.0,co2_ppm,462.3187538844593
2037,SSP3-7.0,co2_ppm,466.4013089006863
2038,SSP3-7.0,co2_ppm,470.6771118227496
2039,SSP3-7.0,co2_ppm,474.40169259197387
2040,SSP3-7.0,co2_ppm,478.25456223056364
2041,SSP3-7.0,co2_ppm,482.95317474236117
2042,SSP3-7.0,co2_ppm,488.1282288313693
2043,SSP3-7.0,co2_ppm,492.2364217673389
2044,SSP3-7.0,co2_ppm,496.1357968311351
2045,SSP3-7.0,co2_ppm,501.2540947259438
2046,SSP3-7.0,co2_ppm,505.77036893440663
2047,SSP3-7.0,co2_ppm,510.28670637713066
2048,SSP3-7.0,co2_ppm,515.6622447908534
2049,SSP3-7.0,co2_ppm,520.2173975585176
2050,SSP3-7.0,co2_ppm,524.0902645292247
2051,SSP3-7.0,co2_ppm,530.1925638303479
2052,SSP3-7.0,co2_ppm,535.0449429099573
2053,SSP3-7.0,co2_ppm,539.4668302243197
2054,SSP3-7.0,co2_ppm,544.3732000169867
2055,SSP3-7.0,co2_ppm,548.2984335504926
2056,SSP3-7.0,co2_ppm,553.4343822226461
2057,SSP3-7.0,co2_ppm,559.4670749848348
2058,SSP3-7.0,co2_ppm,564.9413160385027
2059,SSP3-7.0,co2_ppm,569.9935421105541
2060,SSP3-7.0,co2_ppm,575.9784411667682
2061,SSP3-7.0,co2_ppm,581.7760213711762
2062,SSP3-7.0,co2_ppm,587.7304065290068
2063,SSP3-7.0,co2_ppm,592.0765049646421
2064,SSP3-7.0,co2_ppm,597.1966717511867
2065,SSP3-7.0,co2_ppm,603.7568273846272
2066,SSP3-7.0,co2_ppm,608.6112579708704
2067,SSP3-7.0,co2_ppm,613.6772974930376
2068,SSP3-7.0,co2_ppm,619.8399568198356
2069,SSP3-7.0,co2_ppm,626.9131256589837
2070,SSP3-7.0,co2_ppm,632.6587592061
2071,SSP3-7.0,co2_ppm,637.5231513001723
2072,SSP3-7.0,co2_ppm,643.6169353488435
2073,SSP3-7.0,co2_ppm,650.2863639250287
2074,SSP3-7.0,co2_ppm,656.9216137283718
2075,SSP3-7.0,co2_ppm,662.1537278929699
2076,SSP3-7.0,co2_ppm,667.8248392255356
2077,SSP3-7.0,co2_ppm,673.7966272643324
2078,SSP3-7.0,co2_ppm,680.8616737251663
2079,SSP3-7.0,co2_ppm,687.4031194716308
2080,SSP3-7.0,co2_ppm,693.9624369930071
2081,SSP3-7.0,co2_ppm,700.7947393415271
2082,SSP3-7.0,co2_ppm,707.9410868362407
2083,SSP3-7.0,co2_ppm,714.6640197131775
2084,SSP3-7.0,co2_ppm,721.3382568949814
2085,SSP3-7.0,co2_ppm,728.5662798960657
2086,SSP3-7.0,co2_ppm,736.6461073131965
2087,SSP3-7.0,co2_ppm,743.8093481232448
2088,SSP3-7.0,co2_ppm,750.9498290783698
2089,SSP3-7.0,co2_ppm,757.409916645257
2090,SSP3-7.0,co2_ppm,764.223616974245
2091,SSP3-7.0,co2_ppm,771.3909674349433
2092,SSP3-7.0,co2_ppm,777.892244045533
2093,SSP3-7.0,co2_ppm,785.5232364682793
2094,SSP3-7.0,co2_ppm,794.8334873535532
2095,SSP3-7.0,co2_ppm,801.278706679277
2096,SSP3-7.0,co2_ppm,809.3452303297067
2097,SSP3-7.0,co2_ppm,817.3906018363529
2098,SSP3-7.0,co2_ppm,824.6404891828118
2099,SSP3-7.0,co2_ppm,832.7344662909536
2100,SSP3-7.0,co2_ppm,840.7737261556123
2015,SSP5-8.5,co2_ppm,391.74064239870563
2016,SSP5-8.5,co2_ppm,393.98084464506564
2017,SSP5-8.5,co2_ppm,397.03157312177376
2018,SSP5-8.5,co2_ppm,399.4286686743517
2019,SSP5-8.5,co2_ppm,402.3577004281606
2020,SSP5-8.5,co2_ppm,404.8337461166571
2021,SSP5-8.5,co2_ppm,408.0145233504611
2022,SSP5-8.5,co2_ppm,411.2781520048322
2023,SSP5-8.5,co2_ppm,413.96912061779517
2024,SSP5-8.5,co2_ppm,417.04696700010123
2025,SSP5-8.5,co2_ppm,420.5529934499998
2026,SSP5-8.5,co2_ppm,424.3562119227185
2027,SSP5-8.5,co2_ppm,427.4716684177469
2028,SSP5-8.5,co2_ppm,431.1633924535027
2029,SSP5-8.5,co2_ppm,435.9312771202701
2030,SSP5-8.5,co2_ppm,438.9923088109629
2031,SSP5-8.5,co2_ppm,442.3032089588384
2032,SSP5-8.5,co2_ppm,446.8013423238365
2033,SSP5-8.5,co2_ppm,451.0380578956272
2034,SSP5-8.5,co2_ppm,454.8904056541003
2035,SSP5-8.5,co2_ppm,458.9212310653522
2036,SSP5-8.5,co2_ppm,463.8215740191379
2037,SSP5-8.5,co2_ppm,469.35942796235736
2038,SSP5-8.5,co2_ppm,473.61431548057993
2039,SSP5-8.5,co2_ppm,477.951027755845
2040,SSP5-8.5,co2_ppm,483.51914379301724
2041,SSP5-8.5,co2_ppm,488.3937743476077
2042,SSP5-8.5,co2_ppm,494.08481669712006
2043,SSP5-8.5,co2_ppm,500.15418024549143
2044,SSP5-8.5,co2_ppm,505.9220625393023
2045,SSP5-8.5,co2_ppm,512.103509723907
2046,SSP5-8.5,co2_ppm,517.6747663747116
2047,SSP5-8.5,co2_ppm,522.7685658886963
2048,SSP5-8.5,co2_ppm,529.0429843067117
2049,SSP5-8.5,co2_ppm,536.2452444272885
2050,SSP5-8.5,co2_ppm,542.2656749102563
2051,SSP5-8.5,co2_ppm,548.223410400713
2052,SSP5-8.5,co2_ppm,555.7802832046706
2053,SSP5-8.5,co2_ppm,563.2806624530887
2054,SSP5-8.5,co2_ppm,569.7900810476616
