,name,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter,start_time,end_time,duration_days
16,               Babe,35.0,-164.25,-1998.0,-1998.0,1977-09-03 12:00:00,1977-09-10 12:00:00,7
17,               Bess,33.46153846153846,1008.5384615384615,-1998.0,-1998.0,1978-08-05 12:00:00,1978-08-10 12:00:00,5
18,               Beta,43.26923076923077,997.6346153846154,81.53846153846153,3.4615384615384617,2005-10-26 18:00:00,2020-09-27 12:00:00,5449
19,               Bill,51.51376146788991,989.1467889908257,-415.302752293578,-544.3853211009174,1997-07-11 12:00:00,2021-06-17 12:00:00,8742
20,               Bret,41.97530864197531,989.8333333333334,-1142.067901234568,-1171.6666666666667,1981-06-29 12:00:00,2023-06-26 12:00:00,15337
21,               Cora,47.63157894736842,1002.4736842105264,-1998.0,-1998.0,1978-08-07 12:00:00,1978-08-13 12:00:00,6
22,               Dean,57.66891891891892,988.7837837837837,-1406.75,-1445.5,1983-09-26 18:00:00,2007-08-24 12:00:00,8732
23,               Earl,56.19771863117871,965.4486692015209,-852.1901140684411,-949.5855513307985,1980-09-04 12:00:00,2022-09-17 12:00:00,15353
24,               Ella,79.62962962962963,979.1851851851852,-1998.0,-1998.0,1978-08-30 00:00:00,1978-09-07 12:00:00,8
25,               Elsa,51.04651162790697,1001.953488372093,138.6046511627907,2.3255813953488373,2021-06-30 18:00:00,2021-07-12 12:00:00,11
26,               Emmy,66.85483870967742,-3.7903225806451615,-1998.0,-1998.0,1976-08-20 12:00:00,1976-09-06 12:00:00,17
27,               Erin,48.233695652173914,995.5271739130435,-1393.4076086956522,-1400.7717391304348,1989-08-18 00:00:00,2019-08-31 12:00:00,10970
28,               Faye,48.47826086956522,-178.41304347826087,-1998.0,-1998.0,1975-09-18 12:00:00,1975-10-01 12:00:00,13
29,               Five,22.34375,1009.15625,0.0,0.0,2010-08-10 12:00:00,2010-08-19 12:00:00,9
30,               Four,24.444444444444443,1010.2222222222222,0.0,0.0,2017-07-05 12:00:00,2017-07-09 12:00:00,4
31,               Fran,47.924528301886795,956.4150943396227,-1998.0,-1998.0,1984-09-15 12:00:00,1996-09-11 12:00:00,4379
32,               Fred,39.193548387096776,1002.9112903225806,51.29032258064516,4.637096774193548,2009-09-07 18:00:00,2021-08-22 12:00:00,4366
33,               Gert,49.47478991596638,994.6470588235294,-937.6470588235294,-964.0756302521008,1981-09-07 00:00:00,2023-09-06 12:00:00,15339
34,               Hope,38.97435897435897,-178.17948717948718,-1998.0,-1998.0,1978-09-12 00:00:00,1978-09-23 12:00:00,11
35,               Hugo,79.765625,968.421875,-1998.0,-1998.0,1989-09-10 12:00:00,1989-09-27 12:00:00,17
36,               Igor,80.57377049180327,960.7868852459017,375.40983606557376,81.06557377049181,2010-09-08 12:00:00,2010-09-24 12:00:00,16
37,               Iota,63.65384615384615,979.1538461538462,153.46153846153845,21.923076923076923,2020-11-12 12:00:00,2020-11-20 12:00:00,8
38,               Iris,58.71559633027523,989.6880733944954,-1998.0,-1998.0,1989-09-16 18:00:00,2001-10-11 12:00:00,4407
39,               Irma,89.0,762.125,-167.775,-300.275,1978-10-02 12:00:00,2017-09-15 12:00:00,14228
40,               Ivan,69.65714285714286,977.9885714285714,-909.6914285714286,-966.9771428571429,1980-10-01 00:00:00,2004-09-26 12:00:00,8761
41,               Joan,63.9622641509434,986.9056603773585,-1998.0,-1998.0,1988-10-10 18:00:00,1988-10-25 12:00:00,14
42,               Jose,55.35502958579882,978.7159763313609,-489.4378698224852,-578.2840236686391,1981-10-29 12:00:00,2023-09-03 12:00:00,15284
43,               Juan,58.333333333333336,984.6862745098039,-1998.0,-1998.0,1985-10-26 00:00:00,2003-10-01 12:00:00,6549
44,               Karl,54.613259668508285,989.5524861878453,-283.4640883977901,-413.8232044198895,1980-11-25 00:00:00,2022-10-17 12:00:00,15301
45,               Kate,59.02255639097744,988.1503759398496,-1339.8195488721803,-1380.6466165413533,1985-11-15 18:00:00,2021-09-03 12:00:00,13075
46,               Kirk,60.0,985.6521739130435,206.95652173913044,20.054347826086957,2012-08-28 18:00:00,2024-10-11 12:00:00,4426
47,               Kyle,43.110236220472444,1001.0866141732283,-1483.8661417322835,-1521.5826771653544,1996-10-11 12:00:00,2020-08-17 12:00:00,8711
48,               Lili,58.161764705882355,988.9509803921569,-1998.0,-1998.0,1984-12-12 12:00:00,2002-10-06 12:00:00,6507
49,               Lisa,42.976190476190474,1001.6666666666666,-179.36309523809524,-248.73809523809524,1998-10-05 00:00:00,2022-11-07 12:00:00,8799
50,               Luis,93.60655737704919,959.0983606557377,-1998.0,-1998.0,1995-08-28 18:00:00,1995-09-14 12:00:00,16
51,               Nana,43.5,1001.96,-894.38,-918.68,1990-10-16 00:00:00,2020-09-05 12:00:00,10917
52,               Nate,44.76190476190476,998.0595238095239,130.29761904761904,7.916666666666667,2005-09-05 18:00:00,2017-10-12 12:00:00,4419
53,               Nine,24.473684210526315,1008.5263157894736,0.0,0.0,2015-09-15 00:00:00,2015-09-21 12:00:00,6
54,               Noel,47.52212389380531,993.8761061946902,-936.1061946902655,-1049.2920353982302,1995-09-26 18:00:00,2007-11-07 12:00:00,4424
55,               Olga,42.4390243902439,997.2682926829268,-1136.0853658536585,-1169.560975609756,2001-11-23 12:00:00,2019-10-29 12:00:00,6549
56,               Omar,41.52542372881356,1000.1355932203389,59.152542372881356,7.88135593220339,2008-10-13 12:00:00,2020-09-08 12:00:00,4348
57,               Opal,54.61538461538461,980.5641025641025,-1998.0,-1998.0,1995-09-27 18:00:00,1995-10-08 12:00:00,10
58,               Otto,40.88709677419355,998.2177419354839,138.8709677419355,3.185483870967742,2004-11-26 00:00:00,2016-11-28 12:00:00,4385
59,               Rene,31.875,1004.59375,29.6875,0.0,2020-09-06 18:00:00,2020-09-16 12:00:00,9
60,               Rina,44.11764705882353,999.1029411764706,91.69117647058823,5.294117647058823,2011-10-22 00:00:00,2023-10-03 12:00:00,4364
61,               Rita,78.47222222222223,962.6111111111111,52.19444444444444,-65.16666666666667,2005-09-18 00:00:00,2005-09-28 12:00:00,10
62,               Rose,32.5,1008.0909090909091,35.0,0.0,2021-09-19 00:00:00,2021-09-26 12:00:00,7
63,               Sara,35.75,1000.55,76.0,0.0,2024-11-13 18:00:00,2024-11-19 12:00:00,5
64,               Sean,38.58490566037736,1001.9056603773585,183.30188679245282,0.0,2011-11-06 00:00:00,2023-10-18 12:00:00,4364
65,               Stan,39.705882352941174,998.7058823529412,-49.294117647058826,-114.0,2005-10-01 12:00:00,2005-10-07 12:00:00,6
66,               Tony,33.5,1004.45,41.0,0.0,2012-10-21 18:00:00,2012-10-28 12:00:00,6
67,               Zeta,49.26229508196721,996.4754098360655,143.85245901639345,5.327868852459017,2005-12-30 00:00:00,2020-10-31 12:00:00,5419
68,              Allen,97.06521739130434,872.6304347826087,-1998.0,-1998.0,1980-07-31 12:00:00,1980-08-13 12:00:00,13
69,              Alpha,35.0,1002.9090909090909,-165.72727272727272,-181.63636363636363,2005-10-22 12:00:00,2005-10-26 12:00:00,4
70,              Anita,72.0,981.5,-1998.0,-1998.0,1977-08-29 12:00:00,1977-09-05 12:00:00,7
71,              Barry,36.21212121212121,1004.5818181818182,-1088.8727272727272,-1125.6606060606061,1983-08-23 18:00:00,2019-07-18 12:00:00,13112
72,              Belle,68.05555555555556,981.5555555555555,-1998.0,-1998.0,1976-08-06 12:00:00,1976-08-12 12:00:00,6
73,              Beryl,45.924369747899156,998.7478991596639,-601.7521008403361,-657.109243697479,1982-08-28 12:00:00,2024-07-13 12:00:00,15295
74,              Cesar,40.65573770491803,1002.4262295081967,-1998.0,-1998.0,1984-08-31 00:00:00,1996-07-30 12:00:00,4351
75,              Chris,37.92079207920792,1002.3762376237623,-881.5445544554456,-927.7574257425742,1982-09-09 00:00:00,2024-07-03 12:00:00,15273
76,              Cindy,44.668508287292816,998.8121546961326,-1062.4419889502763,-1092.7182320441989,1981-08-02 18:00:00,2023-06-27 12:00:00,15303
77,              Clara,40.55555555555556,1004.2962962962963,-1998.0,-1998.0,1977-09-05 12:00:00,1977-09-13 12:00:00,8
78,              Colin,38.80434782608695,1005.8260869565217,113.69565217391305,0.0,2010-08-02 12:00:00,2022-07-04 12:00:00,4354
79,              Danny,39.46700507614213,1005.4923857868021,-1467.6192893401014,-1489.802030456853,1985-08-12 00:00:00,2021-06-30 12:00:00,13106
80,              David,82.81818181818181,969.4545454545455,-1998.0,-1998.0,1979-08-25 12:00:00,1979-09-09 12:00:00,15
81,              Debby,44.24390243902439,999.1073170731707,-864.8878048780488,-915.4731707317073,1982-09-13 12:00:00,2024-08-12 12:00:00,15309
82,              Debra,28.214285714285715,2.857142857142857,-1998.0,-1998.0,1978-08-26 12:00:00,1978-08-31 12:00:00,5
83,              Delta,54.657534246575345,986.1643835616438,196.43835616438355,11.575342465753424,2005-11-19 12:00:00,2020-10-13 12:00:00,5442
84,              Diana,57.327586206896555,993.1379310344828,-1998.0,-1998.0,1984-09-08 12:00:00,1990-08-11 12:00:00,2163
85,              Dolly,40.2803738317757,1000.7289719626168,-897.8785046728972,-949.1401869158879,1996-08-19 12:00:00,2020-06-26 12:00:00,8712
86,              Doris,67.06896551724138,987.7241379310345,-1998.0,-1998.0,1975-08-28 12:00:00,1975-09-06 12:00:00,9
87,              Eight,27.96875,1010.03125,0.0,0.0,2009-09-25 12:00:00,2016-09-02 12:00:00,2534
88,              Elena,55.97826086956522,992.7391304347826,-1998.0,-1998.0,1979-08-30 00:00:00,1985-09-06 12:00:00,2199
89,              Emily,54.71590909090909,992.810606060606,-1160.6969696969697,-1189.9583333333333,1981-08-31 12:00:00,2023-08-27 12:00:00,15336
90,              Erika,52.58064516129032,994.1612903225806,-1540.774193548387,-1562.9516129032259,1991-09-08 18:00:00,2015-08-30 12:00:00,8756
91,              Felix,56.577669902912625,987.4029126213592,-1735.4368932038835,-1743.4223300970873,1989-08-26 00:00:00,2007-09-08 12:00:00,6587
92,              Fiona,53.44827586206897,990.0775862068965,176.68103448275863,23.53448275862069,2010-08-30 00:00:00,2022-09-29 12:00:00,4413
93,              Floyd,61.06870229007634,986.4656488549618,-1998.0,-1998.0,1981-09-03 12:00:00,1999-09-21 12:00:00,6592
94,              Gamma,35.0,1002.9444444444445,43.425925925925924,0.2777777777777778,2005-11-14 00:00:00,2020-10-08 12:00:00,5442
95,              Grace,43.455882352941174,983.5294117647059,-589.2794117647059,-643.4338235294117,1991-10-25 18:00:00,2021-08-23 12:00:00,10894
96,              Greta,61.53846153846154,-88.07692307692308,-1998.0,-1998.0,1978-09-13 18:00:00,1978-09-21 12:00:00,7
97,              Hanna,40.289256198347104,998.4132231404959,-168.4793388429752,-278.06611570247935,2002-09-12 00:00:00,2020-07-28 12:00:00,6529
98,              Henri,35.714285714285715,1004.3831168831168,-952.2922077922078,-985.1168831168832,1979-09-15 00:00:00,2021-08-26 12:00:00,15321
99,              Holly,42.11538461538461,-461.2692307692308,-1998.0,-1998.0,1976-10-22 18:00:00,1976-10-30 12:00:00,7
100,              Irene,60.828729281767956,931.0,-852.0883977900553,-934.9889502762431,1981-09-21 12:00:00,2011-08-31 21:00:00,10936
101,              Isaac,54.951219512195124,990.0487804878048,-502.00975609756097,-618.2536585365854,1988-09-28 18:00:00,2024-10-04 12:00:00,13154
102,              Jerry,39.27536231884058,1002.036231884058,-705.2971014492754,-751.927536231884,1989-10-12 12:00:00,2019-09-29 12:00:00,10944
103,              Joyce,37.712765957446805,1003.1489361702128,-568.2340425531914,-595.1489361702128,2000-09-25 12:00:00,2024-10-02 12:00:00,8773
104,              Julia,44.857142857142854,999.3619047619047,92.71428571428571,7.523809523809524,2010-09-12 12:00:00,2022-10-12 12:00:00,4413
105,              Karen,40.53030303030303,1002.1363636363636,-1078.1969696969697,-1119.371212121212,1989-11-28 12:00:00,2019-09-29 12:00:00,10897
106,              Katia,46.97986577181208,993.2147651006711,123.79194630872483,24.42953020134228,2011-08-28 00:00:00,2023-09-17 12:00:00,4403
107,              Keith,53.17567567567568,987.5945945945946,-1998.0,-1998.0,1988-11-17 18:00:00,2000-10-08 12:00:00,4342
108,              Klaus,55.51724137931034,992.5,-1998.0,-1998.0,1984-11-05 18:00:00,1990-10-11 12:00:00,2165
109,              Larry,59.31818181818182,985.3295454545455,-810.1818181818181,-918.8181818181819,2003-09-27 18:00:00,2021-09-13 12:00:00,6560
110,              Laura,51.31578947368421,995.8815789473684,290.0,17.236842105263158,2008-09-26 00:00:00,2020-08-31 12:00:00,4357
111,              Lenny,64.23076923076923,983.1282051282051,-1998.0,-1998.0,1999-11-13 18:00:00,1999-11-25 12:00:00,11
112,              Marco,36.85,1001.66,-1405.58,-1418.28,1990-10-09 12:00:00,2020-08-27 12:00:00,10915
113,              Maria,66.11801242236025,981.1614906832298,263.6024844720497,39.254658385093165,2005-09-01 12:00:00,2017-10-04 12:00:00,4416
114,              Mindy,33.541666666666664,1005.4166666666666,-1159.25,-1165.5,2003-10-10 18:00:00,2021-09-12 12:00:00,6546
115,              Mitch,63.14102564102564,978.8205128205128,-1998.0,-1998.0,1998-10-22 00:00:00,1998-11-11 12:00:00,20
116,              Nigel,54.891304347826086,980.2391304347826,374.5652173913044,25.434782608695652,2023-09-15 12:00:00,2023-09-28 12:00:00,13
117,              Oscar,55.75757575757576,985.8484848484849,305.6060606060606,21.21212121212121,2012-10-02 12:00:00,2024-10-24 12:00:00,4405
118,              Pablo,44.60526315789474,994.7368421052631,-787.578947368421,-840.7368421052631,1995-10-04 18:00:00,2019-10-30 12:00:00,8791
119,              Patty,41.92307692307692,994.5384615384615,105.38461538461539,0.0,2012-10-10 18:00:00,2024-11-06 12:00:00,4409
120,              Paula,58.333333333333336,996.6666666666666,71.19047619047619,11.428571428571429,2010-10-11 00:00:00,2010-10-17 12:00:00,6
121,              Peter,38.38709677419355,1004.5483870967741,-928.3870967741935,-966.7741935483871,2003-12-07 18:00:00,2021-09-24 12:00:00,6500
122,              Sally,52.32142857142857,992.2857142857143,116.07142857142857,15.714285714285714,2020-09-11 18:00:00,2020-09-20 12:00:00,8
123,              Sandy,61.55555555555556,971.8666666666667,478.22222222222223,66.33333333333333,2012-10-21 18:00:00,2012-11-02 12:00:00,11
124,              Shary,51.111111111111114,996.2222222222222,124.44444444444444,3.3333333333333335,2010-10-28 18:00:00,2010-11-01 12:00:00,3
125,              Tammy,52.857142857142854,993.7460317460317,129.31746031746033,-18.936507936507937,2005-10-05 12:00:00,2023-11-02 12:00:00,6602
126,              Tanya,57.41379310344828,982.6896551724138,-1998.0,-1998.0,1995-10-27 00:00:00,1995-11-04 12:00:00,8
127,              Teddy,70.3061224489796,973.1224489795918,284.48979591836735,61.224489795918366,2020-09-12 12:00:00,2020-09-26 12:00:00,14
128,              Theta,42.121212121212125,998.939393939394,154.24242424242425,0.0,2020-11-08 12:00:00,2020-11-18 12:00:00,10
129,              Three,27.0,1013.2,0.0,0.0,2019-07-22 12:00:00,2019-07-25 12:00:00,3
130,              Tomas,52.407407407407405,995.4074074074074,168.9814814814815,5.833333333333333,2010-10-29 12:00:00,2010-11-12 12:00:00,14
131,              Vicky,32.916666666666664,1006.625,49.583333333333336,0.0,2020-09-14 00:00:00,2020-09-21 12:00:00,7
132,              Vince,43.666666666666664,997.5333333333333,83.33333333333333,2.0,2005-10-08 12:00:00,2005-10-14 18:00:00,6
133,              Wanda,43.611111111111114,991.2037037037037,249.62962962962962,0.0,2021-10-25 18:00:00,2021-11-09 12:00:00,14
134,              Wilma,88.54166666666667,956.6666666666666,150.64583333333334,-50.916666666666664,2005-10-15 18:00:00,2005-10-28 12:00:00,12
135,             Alicia,49.2,995.48,-1998.0,-1998.0,1983-08-15 12:00:00,1983-08-23 12:00:00,8
136,             Amelia,34.166666666666664,1007.6666666666666,-1998.0,-1998.0,1978-07-30 18:00:00,1978-08-02 12:00:00,2
137,             Andrea,43.214285714285715,997.3571428571429,164.28571428571428,0.0,2013-06-05 18:00:00,2013-06-10 12:00:00,4
138,             Andrew,65.80882352941177,984.4117647058823,-1998.0,-1998.0,1986-06-05 00:00:00,1992-08-30 12:00:00,2278
139,             Arlene,37.126168224299064,1001.5981308411215,-1225.3878504672898,-1269.7570093457944,1981-05-06 18:00:00,2023-06-06 12:00:00,15370
140,             Arthur,38.604651162790695,1001.5174418604652,-1059.5988372093022,-1123.5523255813953,1984-08-28 18:00:00,2020-05-22 12:00:00,13050
141,             Bertha,48.81226053639847,996.5057471264367,-942.6973180076628,-1013.2911877394636,1984-08-30 12:00:00,2020-05-30 12:00:00,13057
142,             Bonnie,47.59146341463415,998.125,-929.185975609756,-948.5,1980-08-14 00:00:00,2022-07-12 12:00:00,15307
143,             Dennis,41.90196078431372,910.9921568627451,-1539.6549019607844,-1555.8509803921568,1981-08-07 12:00:00,2005-07-20 12:00:00,8748
144,             Dorian,61.98347107438016,986.9834710743802,126.19834710743801,27.355371900826448,2013-07-22 18:00:00,2019-09-10 12:00:00,2240
145,             Dottie,29.666666666666668,337.53333333333336,-1998.0,-1998.0,1976-08-18 00:00:00,1976-08-23 12:00:00,5
146,             Eleven,26.470588235294116,1008.4705882352941,0.0,0.0,2018-09-21 18:00:00,2022-10-01 12:00:00,1470
147,             Eloise,44.57446808510638,956.1702127659574,-1998.0,-1998.0,1975-09-13 12:00:00,1975-09-26 12:00:00,13
148,             Evelyn,50.5,1001.1,-1998.0,-1998.0,1977-10-13 18:00:00,1977-10-17 12:00:00,3
149,             Fabian,65.20618556701031,982.4948453608248,-1998.0,-1998.0,1985-09-15 18:00:00,2003-09-11 12:00:00,6569
150,             Frieda,33.5,1008.0,-1998.0,-1998.0,1977-10-16 18:00:00,1977-10-20 12:00:00,3
151,             Gaston,47.0,997.5034482758621,89.53103448275863,-2.6413793103448278,2004-08-27 12:00:00,2022-09-29 12:00:00,6607
152,             Gladys,66.30434782608695,985.7173913043479,-1998.0,-1998.0,1975-09-22 18:00:00,1975-10-05 12:00:00,12
153,             Gloria,59.34027777777778,986.8472222222222,-1998.0,-1998.0,1976-09-26 12:00:00,1985-10-03 12:00:00,3294
154,             Gordon,46.65909090909091,996.3727272727273,-723.3363636363637,-789.7,1994-11-08 12:00:00,2024-09-19 12:00:00,10908
155,             Gustav,54.34782608695652,988.2298136645962,-1338.8385093167701,-1370.0186335403728,1984-09-16 18:00:00,2008-09-07 12:00:00,8756
156,             Hallie,34.642857142857146,1005.1428571428571,-1998.0,-1998.0,1975-10-24 18:00:00,1975-10-29 12:00:00,4
157,             Harold,34.0,1003.5,40.0,0.0,2023-08-21 12:00:00,2023-08-25 12:00:00,4
158,             Harvey,44.898989898989896,996.8787878787879,-570.1818181818181,-623.7171717171717,1981-09-11 18:00:00,2017-09-04 12:00:00,13141
159,             Helene,56.16600790513834,988.403162055336,-542.2252964426877,-659.399209486166,1988-09-19 18:00:00,2024-09-30 18:00:00,13160
160,             Idalia,51.851851851851855,988.6851851851852,216.11111111111111,4.444444444444445,2023-08-26 12:00:00,2023-09-10 12:00:00,15
161,             Imelda,32.22222222222222,1006.3333333333334,13.333333333333334,0.0,2019-09-17 12:00:00,2019-09-20 12:00:00,3
162,             Ingrid,38.333333333333336,1001.375,50.0,2.8125,2007-09-12 12:00:00,2013-09-19 12:00:00,2199
163,             Isabel,75.31914893617021,975.7127659574468,-1998.0,-1998.0,1985-10-07 00:00:00,2003-09-21 12:00:00,6558
164,             Isaias,57.638888888888886,995.8333333333334,200.27777777777777,12.63888888888889,2020-07-28 12:00:00,2020-08-07 12:00:00,10
165,             Jeanne,55.822784810126585,989.6012658227849,-1117.2088607594937,-1164.2974683544303,1980-11-07 18:00:00,2004-10-01 12:00:00,8728
166,             Julian,41.92307692307692,999.2307692307693,93.07692307692308,0.0,2021-08-28 12:00:00,2021-09-02 12:00:00,5
167,             Juliet,40.0,1006.9375,-1998.0,-1998.0,1978-10-07 18:00:00,1978-10-13 12:00:00,5
168,             Kendra,44.583333333333336,-82.08333333333333,-1998.0,-1998.0,1978-10-28 18:00:00,1978-11-05 12:00:00,7
169,             Leslie,52.262443438914026,991.0135746606335,-7.411764705882353,-223.92760180995475,2000-10-04 12:00:00,2024-10-14 12:00:00,8776
170,             Margot,51.630434782608695,992.0652173913044,209.1304347826087,23.91304347826087,2023-09-07 12:00:00,2023-09-20 12:00:00,13
171,             Martin,55.23809523809524,978.8095238095239,423.3333333333333,30.952380952380953,2022-10-30 18:00:00,2022-11-06 12:00:00,6
172,             Milton,89.8529411764706,959.6176470588235,210.0,28.529411764705884,2024-10-04 18:00:00,2024-10-13 12:00:00,8
173,             Nadine,48.81481481481482,994.3407407407408,3.674074074074074,-187.06666666666666,2000-10-19 12:00:00,2024-10-22 12:00:00,8769
174,             Nestor,42.0,1000.8,168.0,0.0,2019-10-17 12:00:00,2019-10-22 12:00:00,5
175,             Nicole,54.48529411764706,987.75,-274.11764705882354,-489.08088235294116,1998-11-24 00:00:00,2022-11-13 12:00:00,8755
176,             Odette,41.21212121212121,1001.2727272727273,-569.3030303030303,-696.2727272727273,2003-12-04 12:00:00,2021-09-28 12:00:00,6508
177,             Paloma,44.166666666666664,995.3611111111111,46.52777777777778,10.833333333333334,2008-11-05 18:00:00,2008-11-16 12:00:00,10
178,             Rafael,53.529411764705884,984.7764705882353,319.29411764705884,14.882352941176471,2012-10-12 18:00:00,2024-11-12 12:00:00,4413
179,             Twelve,30.0,1007.3,0.0,0.0,2022-10-04 12:00:00,2022-10-08 12:00:00,4
180,             Victor,37.72727272727273,1003.9090909090909,67.27272727272727,0.0,2021-09-29 00:00:00,2021-10-06 12:00:00,7
181,            Alberto,44.53252032520325,996.2276422764228,-1162.60162601626,-1218.2926829268292,1982-06-02 12:00:00,2024-06-23 18:00:00,15362
182,            Allison,32.35537190082645,1002.198347107438,-1998.0,-1998.0,1989-06-24 18:00:00,2001-06-20 12:00:00,4378
183,            Blanche,45.0,999.2,-1998.0,-1998.0,1975-07-24 00:00:00,1975-07-30 12:00:00,6
184,            Candice,56.8,-122.28,-1998.0,-1998.0,1976-08-18 12:00:00,1976-08-26 12:00:00,8
185,            Chantal,41.54970760233918,1001.7368421052631,-1218.888888888889,-1285.2631578947369,1983-09-10 12:00:00,2019-08-28 12:00:00,13136
186,            Charley,48.987730061349694,993.8895705521472,-1674.0122699386502,-1688.8895705521472,1980-08-20 12:00:00,2004-08-17 12:00:00,8763
187,            Dorothy,51.0,994.8666666666667,-1998.0,-1998.0,1977-09-26 18:00:00,1977-10-02 12:00:00,5
188,            Edouard,51.228070175438596,992.0087719298245,-1234.671052631579,-1264.9561403508771,1984-09-14 00:00:00,2020-07-11 12:00:00,13084
189,            Epsilon,55.595238095238095,986.6785714285714,238.45238095238096,18.75,2005-11-29 12:00:00,2020-10-28 12:00:00,5447
190,            Ernesto,45.20725388601036,998.7927461139897,-431.9740932642487,-529.2020725388601,1982-09-30 12:00:00,2024-08-22 12:00:00,15302
191,            Fernand,37.8125,1003.5625,45.625,0.0,2013-08-25 12:00:00,2019-09-06 12:00:00,2203
192,            Fifteen,29.615384615384617,1006.974358974359,24.615384615384617,0.0,2007-10-11 12:00:00,2019-10-19 12:00:00,4391
193,            Flossie,47.3,-240.42,-1998.0,-1998.0,1978-09-04 00:00:00,1978-09-18 12:00:00,14
194,            Frances,65.85365853658537,730.8780487804878,-1396.479674796748,-1430.8292682926829,1976-08-27 12:00:00,2004-09-12 12:00:00,10243
195,            Georges,62.76699029126213,988.2330097087379,-1998.0,-1998.0,1980-09-01 00:00:00,1998-10-03 12:00:00,6606
196,            Gilbert,77.34693877551021,968.9795918367347,-1998.0,-1998.0,1988-09-08 18:00:00,1988-09-21 12:00:00,12
197,            Gonzalo,65.56451612903226,983.8548387096774,141.93548387096774,33.225806451612904,2014-10-11 18:00:00,2020-07-27 12:00:00,2115
198,            Hermine,38.529411764705884,1001.3676470588235,-494.0,-556.7941176470588,1980-09-20 12:00:00,2022-09-27 12:00:00,15347
199,            Isidore,54.25595238095238,990.3452380952381,-1998.0,-1998.0,1984-09-25 12:00:00,2002-09-29 12:00:00,6578
200,            Joaquin,59.14473684210526,980.5394736842105,204.3421052631579,30.13157894736842,2015-09-26 18:00:00,2015-10-16 12:00:00,19
201,            Katrina,55.07142857142857,983.7714285714286,-1046.1,-1091.4571428571428,1981-11-03 00:00:00,2005-09-02 12:00:00,8704
202,            Lorenzo,57.27272727272727,987.3636363636364,-146.22222222222223,-308.64646464646466,2001-10-27 12:00:00,2019-10-06 12:00:00,6553
203,            Marilyn,51.139240506329116,991.8354430379746,-1998.0,-1998.0,1995-09-12 18:00:00,1995-10-03 12:00:00,20
204,            Matthew,76.77215189873418,974.8101265822785,173.31645569620252,8.316455696202532,2004-10-08 12:00:00,2016-10-11 18:00:00,4386
205,            Melissa,38.170731707317074,1000.5487804878048,188.0487804878049,0.0,2007-09-28 12:00:00,2019-10-16 12:00:00,4401
206,            Michael,61.42156862745098,985.3333333333334,-289.47058823529414,-407.65686274509807,2000-10-15 12:00:00,2018-10-17 12:00:00,6576
207,            Ophelia,52.73684210526316,991.2,181.1578947368421,14.236842105263158,2005-09-06 12:00:00,2023-09-26 12:00:00,6594
208,            Richard,43.793103448275865,1000.2758620689655,67.41379310344827,4.310344827586207,2010-10-19 18:00:00,2010-10-28 12:00:00,8
209,            Roxanne,54.642857142857146,991.9285714285714,-1998.0,-1998.0,1995-10-07 18:00:00,1995-10-22 12:00:00,14
210,            Sixteen,25.0,1005.125,0.0,0.0,2008-10-14 12:00:00,2008-10-17 12:00:00,3
